nct_id,condition,facility_name,city,sampling_method,overall_status
NCT04363216,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04424355,Coronavirus Infections|Pneumonia|,Research and Practical Clinical Center for Diagnostics and Telemedicine Technologies of the Moscow Health Care Department,Moscow,Non-Probability Sample,Recruiting
NCT04378257,Depressive Symptoms|Generalized Anxiety|,NA,NA,NA,Not yet recruiting
NCT04407156,COVID|AKI|,Derby Hospital NHS Foundation Trust,Derby,Non-Probability Sample,Completed
NCT04409743,Sleep Disturbance|Insomnia|,Stanford University,Palo Alto,NA,Recruiting
NCT04379232,Digestive Cancer|Gynaecological Cancer|Head and Neck Cancer|,"Croix-Rousse Hospital, Hospices Civils de Lyon",Lyon,Non-Probability Sample,Completed
NCT04565249,Acute Respiratory Distress Syndrome|SARS-CoV-2|,NA,NA,NA,Not yet recruiting
NCT04370808,COVID-19|,Cardiovascular Center at Universidade de Lisboa,Lisbon,Non-Probability Sample,Not yet recruiting
NCT04384900,COVID-19|,Nordsjællands Hospital,Hillerød,NA,Recruiting
NCT04446377,COVID-19 Disease|,Yale University,New Haven,NA,Recruiting
NCT04347824,Covid-19|,University Medical Center Goettingen,Göttingen,Non-Probability Sample,Recruiting
NCT04387253,Identification of the Mother or Fetus Contamination by SARS Cov-2|Research the Presence of Viruses at Different Sites of the Mother and the Fetus or Father|The Survey Builds on a Network Work Already Organized Around the CPDPN of Poitou-Charentes|Analysis Laboratories of the Poitiers CHU|,CHU de Poitiers,Poitiers,NA,Recruiting
NCT04498286,Multiple Sclerosis|,VU medical center,Amsterdam,Non-Probability Sample,Recruiting
NCT04365738,COVID-19|,Istanbul Bilgi University,Istanbul,NA,Completed
NCT04456153,COVID-19|,University of Texas Medical Center,Dallas,NA,Recruiting
NCT04443699,Mental Well-being|,NA,NA,Probability Sample,Not yet recruiting
NCT04552483,Covid19|Coronavirus|,Universidade Federal do Rio de Janeiro,Rio De Janeiro,NA,Completed
NCT04339998,Coronavirus Infection|COVID|Covid-19|SARS-CoV-2|,University of Minnesota Medical Center (UMMC),Minneapolis,Probability Sample,Recruiting
NCT04456452,COVID-19|,Research Site,Colorado Springs,NA,"Active, not recruiting"
NCT04260308,Virus; Pneumonia|,Tongji Hospital，Tongji Medical College Affiliated，Huazhong University of Science ＆ Technology,Wuhan,Probability Sample,Recruiting
NCT04374526,Coronavirus Disease 2019 )COVID-19)|,Fondazione Policlinico Universitario A. Gemelli IRCCS,Roma,NA,Recruiting
NCT04324489,COVID-19|,Renmin Hospital of Wuhan University,Wuhan,NA,Completed
NCT04542980,SARS-CoV 2 Infection|Covid19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04409951,"Event, Life Change|",Damanhour university,Beheira,Non-Probability Sample,Not yet recruiting
NCT04381871,COVID 19|,Omdurman Teaching Hospital,Khartoum,NA,Not yet recruiting
NCT04431297,Chronic Stress|,Icahn School of Medicine at Mount Sinai,New York,NA,Not yet recruiting
NCT04475185,Acute Respiratory Distress Syndrome|,CHRU Brest,Brest,NA,Recruiting
NCT04414371,Stress|Anxiety|Depression|Resilience|Wellbeing|Mood|,Rutgers University,New Brunswick,NA,Recruiting
NCT04569344,Venous Thromboembolism|Covid19|,Kaiser Permanente Northern California,Oakland,Non-Probability Sample,Recruiting
NCT04395872,"Covid19|Psychiatric Problem|Isolation, Social|",NA,NA,Probability Sample,Not yet recruiting
NCT04407273,COVID|Statin|Cardiovascular Diseases|,Facultat de Medicina i Ciències de la Salut de Reus,Reus,Probability Sample,"Active, not recruiting"
NCT04473248,Covid19|,Humber River Hospital,North York,NA,Recruiting
NCT04371744,COVID-19|,Assistance Publique Hôpitaux de Marseille,Marseille,Non-Probability Sample,Completed
NCT04498247,Coronavirus Disease (COVID-19)|,"Research Centers of America, LLC ( Site 0014)",Hollywood,NA,Recruiting
NCT04440098,Loneliness|Depression|Anxiety|Alcohol Abuse|Drug Abuse|,University of Miami,Miami,Non-Probability Sample,Completed
NCT04577378,Covid19|,Kafr El-sheikh University,Cairo,NA,Not yet recruiting
NCT04570189,COVID-19|,The University of Ottawa Heart Institute,Ottawa,Probability Sample,Not yet recruiting
NCT04570384,Acute Hypoxemic Respiratory Failure|,University of Arkansas for Medical Sciences,Little Rock,NA,Not yet recruiting
NCT04534569,Covid19|Acute Respiratory Failure|Acute Respiratory Distress Syndrome|,NMC Specialty Hospital,Dubai,Probability Sample,"Active, not recruiting"
NCT04358588,"Coronavirus Infection|COVID-19|Pneumonia, Viral|",NA,NA,NA,No longer available
NCT04558125,Pulmonary Embolism|COVID|,Cedars-Sinai Medical Center,Los Angeles,NA,"Active, not recruiting"
NCT04342884,Coronavirus|COVID|,Wake Forest Baptist Medical Center,Winston-Salem,Non-Probability Sample,Recruiting
NCT04479540,"Pneumonia, Viral|",Hôpital Foch,Suresnes,NA,Recruiting
NCT04320615,COVID-19 Pneumonia|,University of California San Diego,La Jolla,NA,Completed
NCT04323514,Hospitalized Patients With Covid-19 Pneumonia|,A.R.N.A.S. Civico - Di Cristina - Benfratelli,Palermo,NA,Recruiting
NCT04532411,SARS-CoV Infection|Respiratory Viral Infection|Personal Protective Equipment|Covid19|,Massachusetts General Hospital,Boston,Probability Sample,"Active, not recruiting"
NCT04427345,covid19|,ASST Monza-Ospedale San Gerardo,Monza,Non-Probability Sample,Recruiting
NCT04563702,Covid19|,WCCT,Cypress,NA,Recruiting
NCT04479150,Covid19|Surgery--Complications|,Hospital Universitari de Bellvitge,L'Hospitalet De Llobregat,Non-Probability Sample,Recruiting
NCT04326426,Coronavirus Infection|,Lenox Hill Hospital Northwell Health,New York,NA,Enrolling by invitation
NCT04380870,Coronavirus Infection|,Seattle Intstitute of East Asian Medicine,Seattle,Non-Probability Sample,Recruiting
NCT04348877,Coronavirus Disease (COVID-19)|,Faculty of Medicine Ain Shams University Research Institute- Clinical Research Center,Cairo,NA,Not yet recruiting
NCT04542200,Covid19|,"Feinstein Institutes for Medical Research, Northwell Health",Great Neck,Non-Probability Sample,Enrolling by invitation
NCT04444531,COVID-19 Pneumonia|,Policlinic Ibiza Hospital,Ibiza,Non-Probability Sample,Completed
NCT04340557,SARS-CoV Infection|,Sharp Grossmont Hospital,La Mesa,NA,Recruiting
NCT04437901,"COVID|Arrhythmia|Torsades de Pointe Caused by Drug|Qt Interval, Variation in|Atrioventricular Block|Atrial Fibrillation|Bradyarrhythmia|Ventricular Arrythmia|",Antwerp University Hospital,Antwerpen,Non-Probability Sample,Not yet recruiting
NCT04542421,Covid19|,University of Colorado,Denver,NA,Recruiting
NCT04555187,Covid19|Cardiovascular Risk Factor|,Oregon Health and Science University,Portland,Probability Sample,"Active, not recruiting"
NCT04330144,Contact Person From COVID-19 Confirmed Patient|,NA,NA,NA,Not yet recruiting
NCT04356560,COVID-19|,Rigshospitalet University Hospital of Copenhagen,Copenhagen,Non-Probability Sample,Enrolling by invitation
NCT04500132,COVID-19|,Chungbuk National University Hospital,Cheongju-si,NA,Recruiting
NCT04285801,COVID-19|,Pamela Youde Nethersole Eastern Hospital,Hong Kong,Non-Probability Sample,Completed
NCT04276896,Pathogen Infection Covid-19 Infection|,Shenzhen Geno-immune Medical Institute,Shenzhen,NA,Recruiting
NCT04431466,Coronavirus Infection|,Hospital Univeristário da Universidade Federal de São Carlos (HU-UFSCar),São Carlos,NA,Recruiting
NCT04378777,Coronavirus Disease 2019 (COVID-19)|SARS-CoV-2|,University of Arizona (UA) College of Medicine - Tucson: UA Health Sciences Asthma and Airway Disease Research Center,Tucson,Non-Probability Sample,Enrolling by invitation
NCT04360954,COVID|Coronavirus|,Washington University School of Medicine,Saint Louis,Non-Probability Sample,Completed
NCT04357639,HIV Patients|,CHI Créteil,Créteil,Non-Probability Sample,Recruiting
NCT04358042,Psychiatric Disorder|Covid19|,Nantes University Hospital - IFAC,Nantes,Non-Probability Sample,Recruiting
NCT04393311,COVID-19|,Stanford University,Stanford,NA,Not yet recruiting
NCT04565080,Parkinson's Disease|Functional Movement Disorders|COVID-19|,National Institute of Neurological Disorders and Stroke (NINDS),Bethesda,Non-Probability Sample,Recruiting
NCT04311177,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|,Hennepin County Medical Center,Minneapolis,NA,Recruiting
NCT04318418,COVID-19|,"IRCCS Neuromed, Department of Epidemiology and Prevention",Pozzilli,Non-Probability Sample,Completed
NCT04467918,SARS-CoV2|,Serviço de Assistência Médica e Social do Pessoal do Hospital das Clínicas da Faculdade de Medicina de Ribeirão Preto da Universidade de São Paulo,Ribeirão Preto,NA,Recruiting
NCT04355481,Covid-19|Viral Infection|,Service de réanimation Hôpital Avicenne,Bobigny,Non-Probability Sample,Recruiting
NCT04356690,COVID-19|,Boston Medical Center,Boston,NA,Recruiting
NCT04560413,SARS-CoV-2|Post-stroke Depression|Anxiety and Fear|,Fatih Sultan Mehmet Training and Research Hospital,İstanbul,Non-Probability Sample,Completed
NCT04446286,Covid-19|,Service de Chirurgie Thoracique Nouvel Hôpital Civil Hôpitaux Universitaires de Strasbourg,Strasbourg,Non-Probability Sample,Recruiting
NCT04568018,ARDS Due to COVID-19|,FSAEI of Higher Education I.M. Sechenov First Moscow State Medical University,Moscow,Probability Sample,Recruiting
NCT04308668,Corona Virus Infection|Acute Respiratory Distress Syndrome|SARS-CoV Infection|Coronavirus|Coronavirus Infections|,"Nationwide Enrollment via Internet, please email: covid19@umn.edu",Minneapolis,NA,Completed
NCT04370197,"Stroke, Acute|",Service de Neuroradiologie Interventionnelle,Strasbourg,Non-Probability Sample,Recruiting
NCT04332913,COVID-19 Pneumonia|,Ospedale San Salvatore,L'Aquila,Probability Sample,Recruiting
NCT04327401,"Coronavirus Infection|Pneumonia, Viral|Acute Respiratory Distress Syndrome|",Hospital Ana Nery,Salvador,NA,Terminated
NCT04565067,COVID-19|,"National Institute of Aging, Clinical Research Unit",Baltimore,Non-Probability Sample,Recruiting
NCT04386694,COVID-19|Respiratory Failure|,Hospital Tacchini,Bento Gonçalves,NA,Recruiting
NCT04448756,Coronavirus Disease 2019|,University of Alabama-Birmingham Hospital,Birmingham,NA,Recruiting
NCT04347226,Solid Tumor|Sars-CoV2|Hematological Malignancy|,Columbia University Irving Medical Center,New York,NA,Recruiting
NCT04401033,SARS-CoV 2|COVID|,Hospital Rio Hortega,Valladolid,Non-Probability Sample,Completed
NCT04317092,COVID-19 Pneumonia|,"Azienda Ospedaliera ""SS. Antonio e Biagio e C. Arrigo"" (Dipartimento Internistico SSD Reumatologia)",Alessandria,NA,Recruiting
NCT04376580,COVID 19|,Carolina Frederico,Buenos Aires,Non-Probability Sample,Enrolling by invitation
NCT04570202,"Depression|Burnout, Professional|Post Traumatic Stress Disorder|",NA,NA,NA,Not yet recruiting
NCT04568031,COVID-19|,Research Site,Fukuoka-shi,NA,Recruiting
NCT04344561,COVID|Hypoxic Respiratory Failure|,Johns Hopkins Bayview Hospital,Baltimore,NA,Recruiting
NCT04417374,COVID 19|Disease Outbreak|Mental Disorders|,University hospital,Montpellier,Probability Sample,Completed
NCT04438954,Multiple Sclerosis|Covid-19|,"Ankara Yıldırım Beyazıt University, Faculty of Health Sciences,Department of Physiotherapy and Rehabilitation",Ankara,Probability Sample,Completed
NCT04452773,COVID19|,CAP Cornellà (La Gavarra),Cornellà De Llobregat,NA,Recruiting
NCT04365530,COVID|,Hôpital Marie Lannelongue,Le Plessis-Robinson,Non-Probability Sample,Recruiting
NCT04339634,COVID|Drug Effect|Drug Interaction|Adverse Drug Event|,Tabula Rasa HealthCare Precision Pharmacotherapy Research and Development Institute,Orlando,Non-Probability Sample,"Active, not recruiting"
NCT04351919,Patients With COVID19|,Eshmoun Clinical Research Centre/ Hôpital Abderrahmen Mami-Ariana,Tunis,NA,Withdrawn
NCT04460651,COVID19|,NA,NA,NA,Not yet recruiting
NCT04367064,COVID|,"Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation)",New Delhi,Probability Sample,Recruiting
NCT04480957,SARS-CoV-2|,"SingHealth Investigational Medicine Unit (IMU), Singapore General Hospital",Singapore,NA,Recruiting
NCT04512079,COVID-19|SARS-CoV-2|,Icahn School of Medicine at Mount Sinai,New York,NA,Not yet recruiting
NCT04342182,COVID-19|,Erasmus Medical Center,Rotterdam,NA,Recruiting
NCT04569019,Vaccnation in HCW|,Warsaw Medical Uniwerity,Warsaw,Probability Sample,Recruiting
NCT04335630,Cardiovascular Diseases|COVID|,Memorial Hermann Hospital-Texas Medical Center,Houston,Non-Probability Sample,Recruiting
NCT04407169,COVID|,NA,NA,Probability Sample,Not yet recruiting
NCT04352946,Prophylaxis|COVID-19|Health Care Worker|Hydroxychloroquine|,The New York Center for Travel and Tropical Medicine,New York,NA,Not yet recruiting
NCT04369807,COVID-19|,Mayo Clinic Healthcare,London,Probability Sample,Recruiting
NCT04453501,"COVID|Pneumonia, Viral|",Benjamin Davido,Garches,Non-Probability Sample,Completed
NCT04508556,Covid19|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04535674,COVID-19 Induced Pneumonia|Covid19|,"Federal State Budgetary Educational Institution of Higher Education ""Kuban State Medical University"" of the Ministry of Health of the Russian Federation",Krasnodar,NA,Not yet recruiting
NCT04407429,SARS-CoV-2|COVID-19|,Medical University of Vienna,Vienna,Probability Sample,Recruiting
NCT04351542,Flu Like Illness|,Aarogyam,Leicester,NA,Completed
NCT04441710,COVID|,CHU de Grenoble - Hôpital Nord,La Tronche,Non-Probability Sample,Not yet recruiting
NCT04460014,Intrusive Memories of Traumatic Event(s)|Post Traumatic Stress Disorder|,"Hospital units across Sweden (e.g. FO Akut, Karolinska University Hospital Huddinge)",Huddinge,NA,Recruiting
NCT04338360,COVID19|,Mayo Clinic in Arizona,Scottsdale,NA,Approved for marketing
NCT04445493,"Stroke, Acute|COVID-19|",NA,NA,Non-Probability Sample,Not yet recruiting
NCT04383444,COVID-19|,National Institutes of Health Clinical Center,Bethesda,Non-Probability Sample,Recruiting
NCT04559113,SARS-CoV Infection|SARS (Severe Acute Respiratory Syndrome)|,Muhammad Irfan Malik,Lahore,NA,Recruiting
NCT04549337,COVID-19|,NA,NA,NA,Not yet recruiting
NCT04384887,"COVID|Anxiety|Depression, Postpartum|",Pinar Yalcin Bahat,Istanbul,Probability Sample,Completed
NCT04568122,Covid19|,Stanford University,Stanford,NA,Not yet recruiting
NCT04408456,CoVID-19|,Post Graduate Institute of Medical Education and Research (PGIMER),Chandigarh,NA,Completed
NCT04563247,Covid19|,Lahore General Hospital,Lahore,Probability Sample,"Active, not recruiting"
NCT04328961,COVID-19|Corona Virus Infection|SARS (Severe Acute Respiratory Syndrome)|SARS-CoV-2|,University of California Los Angeles,Los Angeles,NA,"Active, not recruiting"
NCT04360733,SARS-CoV 2|COVID|,University Hospital Bonn,Bonn,Non-Probability Sample,Recruiting
NCT04385212,Coronavirus Infection|Sars-CoV2|Elderly Infection|Old Age; Debility|,Department of Rehabilitation and Geriatrics,Geneva,Non-Probability Sample,Completed
NCT04363437,Coronavirus Infection|,Maimonides Medical Center,Brooklyn,NA,Recruiting
NCT04284046,CT Scores Predict Mortality in 2019-nCoV Pneumonia|,Wuhan third hospital,Wuhan,Non-Probability Sample,Completed
NCT04370288,Covid-19|,Imam Reza Hospital,Mashhad,NA,Recruiting
NCT04422873,End Stage Renal Disease|Sars-CoV2|,"School of Sport, Health and Exercise Science",Portsmouth,Non-Probability Sample,Recruiting
NCT04435808,COVID-19|,University of New Mexico Health Sciences Center,Albuquerque,NA,Recruiting
NCT04371848,Eating Habits|,Université Laval,Québec,Non-Probability Sample,"Active, not recruiting"
NCT04361500,COVID-19|,Academic Teaching Hospital Brunswick,Brunswick,Non-Probability Sample,Recruiting
NCT04554979,Covid19|Diarrhea|,Faculty of Medicine Cairo University,Cairo,Non-Probability Sample,Completed
NCT04527601,Extreme Prematurity|Covid19|,"Neonatalklinikken, Rigshospitalet",Copenhagen,Non-Probability Sample,Completed
NCT04381923,"Severe Acute Respiratory Syndrome Coronavirus 2|Hypoxemic Respiratory Failure|Pneumonia, Viral|COVID|",University of Pennsylvania,Philadelphia,NA,Not yet recruiting
NCT04573153,COVID-19|,University of Health Sciences Istanbul Ümraniye Training and Research Hospital,Istanbul,NA,Recruiting
NCT04537663,Respiratory Tract Infections|Covid19|,Meander Medical Center,Amersfoort,NA,Recruiting
NCT04508933,"Respiratory Distress Syndrome, Adult|Ventilation Perfusion Mismatch|Pulmonary Edema|Covid19|",Istanbul University-Cerrahpaşa,Istanbul,Non-Probability Sample,Not yet recruiting
NCT04374487,COVID 19|,"Max Super Speciality hospital, Saket (A unit of Devki Devi Foundation)",New Delhi,NA,"Active, not recruiting"
NCT04447534,COVID|,"Tanta university hospital, Assuit University, Ainshams University",Tanta,NA,Recruiting
NCT04443764,Migrants|Anxiety|Depression|,NA,NA,Probability Sample,Not yet recruiting
NCT04451317,Physical Activity|COVID-19|,CHU Toulouse,Toulouse,Non-Probability Sample,Not yet recruiting
NCT04340414,COVID-19|ECMO|,Yun Long,Beijing,NA,Recruiting
NCT04387279,"COVID-19|Perception, Self|Facilities and Services Utilization|",KeimyungUniversity,Daegu,Non-Probability Sample,Recruiting
NCT04345536,COVID-19|,Oslo University Hospital,Oslo,Probability Sample,Recruiting
NCT04467047,COVID-19|Sars-CoV2|,NA,NA,NA,Not yet recruiting
NCT04442360,Depression|Generalized Anxiety|Health Anxiety|,NA,NA,Probability Sample,Not yet recruiting
NCT04535791,Covid19|Vitamin D|,Hospital Centro Medico Nacional Siglo XXI,Mexico City,NA,Recruiting
NCT04483960,SARS-CoV-2 Infection (COVID-19)|,Calvary Public Bruce Hospital,Bruce,NA,Recruiting
NCT04369820,COVID-19|,Assistance Publique Hôpitaux de Marseille,Marseille,NA,Recruiting
NCT01306084,Anogenital Herpes|COVID-19|Herpes Labialis|,"National Institutes of Health Clinical Center, 9000 Rockville Pike",Bethesda,Non-Probability Sample,Recruiting
NCT04495803,Perinatal Anxiety|Covid19|,NA,NA,NA,Not yet recruiting
NCT04444674,Coronavirus|,PHRU Kliptown,Johannesburg,NA,Recruiting
NCT04437940,COVID|Sars-CoV2|,Acibadem Maslak Hospital,Istanbul,Probability Sample,Recruiting
NCT04518969,Covid19|,CHU Brugmann,Brussels,NA,Recruiting
NCT04407286,Covid 19|Vitamin D Deficiency|,Arizona State University,Tempe,NA,Recruiting
NCT04370275,"COVID-19|Pneumonia, Viral|",SC Pronto Soccorso e Medicina d'Urgenza,Latisana,Probability Sample,Recruiting
NCT04349410,CoVid 19 Positive|,FHHI-OI-Camelot; QME,Los Angeles,NA,Completed
NCT04344145,COVID-19|,Hôpital de Warquignies,Boussu,Non-Probability Sample,Completed
NCT04319445,Migraine Disorders|Stress|Anxiety|,Wake Forest Health Sciences,Winston-Salem,NA,Recruiting
NCT04413747,Coronavirus Infection|Cytokine Storm|Mental Disorder|,Ambulatorio Telemedicina Giardino St Lucia,Massa Lombarda,NA,Not yet recruiting
NCT04389801,Covid 19|,NA,NA,NA,Not yet recruiting
NCT04433910,COVID-19|,University Hospital Ulm,Ulm,NA,Recruiting
NCT04341142,CoV2 Positive Caregivers|,"Hôpital Lyon Sud,Sainte Eugénie bat 4M,5, Chemin du Grand Revoyet",Pierre-Bénite cedex,NA,Recruiting
NCT04368000,Respiratory Failure|COVID-19|,University of Utah Health Sciences Center,Salt Lake City,NA,"Active, not recruiting"
NCT04449731,COVID-19|,Universidad de Granada,Granada,Non-Probability Sample,Recruiting
NCT04492228,Covid19|Ketogenic Dieting|,Samir Giuseppe Sukkar,Genova,NA,Recruiting
NCT04526977,Covid19|Immune Suppression|HIV-1-infection|,NA,NA,Non-Probability Sample,Not yet recruiting
NCT04374539,Coronavirus|,Hospital Clinic i Provincial de Barcelona,Barcelona,NA,Recruiting
NCT04461379,BCG|COVID-19|SARS-CoV2|Corona Virus Infection|,"Hospital Universitario ""José E. González""",Monterrey,NA,Recruiting
NCT04369378,Anxiety|Well-being|,NA,NA,NA,Not yet recruiting
NCT04536350,Covid19|Corona Virus Infection|ARDS|Aviptadil|,Cantonal Hospital Baselland Liestal,Liestal,NA,Not yet recruiting
NCT04477668,COVID-19|Acute Hypoxemic Respiratory Failure|,"Intensive Care Department, King Abdulaziz Medical City, National Guard Health Affairs",Riyadh,NA,Not yet recruiting
NCT04469114,Covid19|,Hospital Israelita Albert Einstein,Sao Paulo,NA,Recruiting
NCT04328493,SARS-CoV-2 Infection|COVID-19|,National Hospital for Tropical Diseases,Hanoi,NA,Recruiting
NCT04340219,Cancer|,University Hospital Gent,Gent,Non-Probability Sample,Completed
NCT04372693,Distance Learning-Online Learning|Traditional Classroom-Based Learning|Coronavirus Disease Social Distancing Measures|Nursing Students' Perception and Achievement|,Cairo University,Cairo,NA,Enrolling by invitation
NCT04575064,SARS-CoV-2 Infection|COVID-19|Moderate and Severe COVID-19|,Gesundheit Nord gGmbH,Bremen,NA,"Active, not recruiting"
NCT04441424,IMMUNOTHERAPY|,Akarkh Healt hdirectorate,Baghdad,NA,Completed
NCT04463004,COVID-19|Sars-CoV2|Pneumonia|,Virginia Commonwealth University,Richmond,NA,Recruiting
NCT04363853,Sars-CoV2|,National Cancer Institute of Mexico,Mexico city,NA,Recruiting
NCT04373200,SARS-CoV-2 Coronavirus|Acute Respiratory Distress Syndrome|,CHU Rennes,Rennes,NA,Recruiting
NCT04484545,COVID-19|,Glasgow Royal Infirmary,Glasgow,Probability Sample,"Active, not recruiting"
NCT04351659,COVID-19|,National University Hospital,Singapore,Non-Probability Sample,Recruiting
NCT04499313,Covid19|ARDS|,Chattogram General Hospital,Chittagong,NA,Recruiting
NCT04424004,COVID 19|,Duke CTSI Translational Population Health Office,Kannapolis,Probability Sample,Enrolling by invitation
NCT04409184,COVID|Sars-CoV2|,NA,NA,Non-Probability Sample,Withdrawn
NCT04470999,Covid19|SARS-CoV-2|,Seraph Research Institute,Los Angeles,NA,Recruiting
NCT04549831,COVID-19|,University of Siena,Siena,Non-Probability Sample,Recruiting
NCT04350684,COVID-19|,"Loghman Hakim Hospital, Shahid Beheshti University of Medical Sciences and Health Services",Tehran,NA,Enrolling by invitation
NCT03808922,Lower Respiratory Tract Infection|Parainfluenza|Immunocompromised|COVID-19|,City of Hope cancer Center,Duarte,NA,Recruiting
NCT04482621,COVID-19|,Johns Hopkins University,Baltimore,NA,Recruiting
NCT04522310,Covid19|,Hospital of Arras,Arras,Non-Probability Sample,Recruiting
NCT04330638,COVID-19|,AZ Sint-Jan Brugge,Brugge,NA,Recruiting
NCT04353674,COVID-19|SARS|,University Hospital,London,NA,Recruiting
NCT04527315,Covid19|,NYU Langone Health,New York,Non-Probability Sample,Recruiting
NCT04361643,COVID-19|,Hospital Universitario de Getafe,Getafe,NA,Not yet recruiting
NCT04390178,COVID-19|,Danderyd Hospital,Danderyd,NA,"Active, not recruiting"
NCT04568811,Adenovirus Type-5 Vectored COVID-19 Vaccine|,A rehabilitation centre in Wuhan,Wuhan,NA,"Active, not recruiting"
NCT04343183,COVID-19|,Ochsner Medical Center,New Orleans,NA,Not yet recruiting
NCT04374071,"COVID|Pneumonia, Viral|",Henry Ford Hospital,Detroit,Probability Sample,Completed
NCT04487990,Acute Kidney Injury|Covid19|,University of São Paulo General Hospital,São Paulo,NA,Recruiting
NCT04527211,Covid19|Healthcare Worker Patient Transmission|,Pontificia Universidad Javeriana,Cali,NA,Not yet recruiting
NCT04568564,Lung Cancer|Physiotherapy|,"Istanbul University-Cerrahpaşa, Cerrahpaşa Faculty of Medicine Thoracic Surgery Clinic",İstanbul,NA,Recruiting
NCT04355052,COVID - 19|,Sheba Medical Center,Ramat Gan,NA,Recruiting
NCT04368221,Covid-19|,CHU Angers,Angers,Non-Probability Sample,"Active, not recruiting"
NCT04416256,COVID-19|,Paris Transplant Group,Paris,Non-Probability Sample,Recruiting
NCT04337359,Severe/Very Severe COVID-19 Illness|,Novartis Investigative Site,Curug,NA,Available
NCT04345887,"Respiratory Distress Syndrome, Adult|",Istanbul University-Cerrahpaşa,Istanbul,NA,Not yet recruiting
NCT04367129,SARS-CoV Infection|,Arcispedale S. Anna,Ferrara,Non-Probability Sample,Recruiting
NCT04500067,Covid19|Pneumonia|,"Site 08 - ""Central City Clinical Hospital of Ivano-Frankivsk City Council""",Ivano-Frankivs'k,NA,Recruiting
NCT04276987,Coronavirus|,Ruijin Hospital Shanghai Jiao Tong University School of Medicine,Shanghai,NA,Completed
NCT04452812,COVID-19 Pneumonia|Convalescent Plasma|,"Hospital Universitario ""Dr. Gonzalo Valdés Valdés""",Saltillo,NA,Not yet recruiting
NCT04261426,2019-nCoV|,NA,NA,NA,Not yet recruiting
NCT04408040,COVID|,Northside Hospital,Atlanta,NA,Recruiting
NCT04488575,Covid19|,Robert Wood Johnson University Hospital,New Brunswick,NA,Recruiting
NCT04323787,Coronavirus|,Mayo Clinic in Arizona,Scottsdale,Non-Probability Sample,Recruiting
NCT04304313,COVID-19|,Department and Institute of Infectious Disease,Wuhan,NA,Recruiting
NCT04530448,COVID|Coronavirus|Coronavirus Infection|AKI|Acute Kidney Injury|,WVU Medicine Heart & Vascular Institute,Morgantown,NA,Not yet recruiting
NCT04425850,Contagious Pleuropneumonia|,Hospital Eurnekian,Buenos Aires,Non-Probability Sample,"Active, not recruiting"
NCT04264858,2019-nCoV|Immunoglobulin of Cured Patients|,"Department of Cardiology, Union Hospital, Tongji Medical College, Huazhong University of Science and Technology",Wuhan,NA,Not yet recruiting
NCT04386668,COVID19|,University College London,London,NA,Terminated
NCT04421664,Corona Virus Infection|SARS-CoV Infection|Coronavirus|,University of Minnesota,Minneapolis,NA,Terminated
NCT04401527,COVID-19|Acute Respiratory Distress Syndrome|Acute Respiratory Failure|,Participating Research Facility,Tampa,NA,Withdrawn
NCT04346615,COVID-19 Infection|,Georgetown University Medical Center,Washington,NA,Recruiting
NCT04341922,Dysfunctional Worry|,Karolinska Institutet,Stockholm,NA,"Active, not recruiting"
NCT04535297,Parkinson Disease|Stroke|,Galit Yogev-Seligmann,Haifa,Non-Probability Sample,Completed
NCT04321993,COVID-19|,Nova Scotia Health Authority,Halifax,NA,Recruiting
NCT04336657,COVID-19|,AssiutU,Assiut,Non-Probability Sample,Recruiting
NCT04523090,Covid19|,University of Cape Town,Cape Town,NA,Recruiting
NCT04502368,Fiberoptic Bronchoscopy (FOB)|Bronchoalveolar Lavage (BAL)|Respiratory Disease|,Erasme University Hospital - Intensive Care Unit,Brussels,Non-Probability Sample,Recruiting
NCT04407468,COVID|ARDS|Pneumonia|,Hospital Materno Celaya,Celaya,Non-Probability Sample,Completed
NCT04503434,Patient Preference|COVID-19|,Carme Hernández,Barcelona,Non-Probability Sample,Completed
NCT04387838,Sars-CoV2|,Hôpital d'Instuction des Armées Sainte-Anne,Toulon,Non-Probability Sample,Recruiting
NCT04340232,COVID-19|,"University of Colorado, Denver",Aurora,NA,Not yet recruiting
NCT04327180,Infection Viral|Coronavirus|ARDS|Pneumonia|,"Hôpital Roger Salengro, ICU, CHU Lille",Lille,Non-Probability Sample,Recruiting
NCT04392973,COVID19|,King Abdulaziz Hospital - Al Ahsa,Hasa,NA,Recruiting
NCT04473547,Covid19|,Faculty of Nursing Mansoura University,Mansoura,Non-Probability Sample,Recruiting
NCT04556565,Covid19|Mental Health Disorder|Mental Health Conditions|,Hospital Universitario Príncipe Asturias,Alcalá De Henares,Non-Probability Sample,Recruiting
NCT04384029,COVID|CVD|,Geneva University Hospital (HUG),Geneva,Non-Probability Sample,"Active, not recruiting"
NCT04525079,SARS-CoV-2 Infection|,Chungnam National University Hospital,Daejeon,NA,Recruiting
NCT04456062,Psychiatric Hospitalization|,Sunnybrook Health Sciences Centre,Toronto,NA,Recruiting
